title;brand;category;condition;price;listed_at
Lacoste — Hoodie;Lacoste;Felpa con cappuccio;usato;40.0;2025-08-19
Lacoste — Hoodie;Lacoste;Felpa con cappuccio;usato;50.0;2025-09-18
Lacoste — Gilet;Lacoste;Gilet;usato;45.0;2025-08-19
Lacoste — Gilet;Lacoste;Gilet;usato;60.0;2025-09-18
Ralph Lauren — Maglione scollo a V (pesante);Ralph Lauren;Maglione V-neck;usato;25.0;2025-08-19
Ralph Lauren — Maglione scollo a V (pesante);Ralph Lauren;Maglione V-neck;usato;30.0;2025-09-18
Ralph Lauren — Maglione girocollo/classico;Ralph Lauren;Maglione classico;usato;40.0;2025-08-19
Ralph Lauren — Maglione girocollo/classico;Ralph Lauren;Maglione classico;usato;70.0;2025-09-18
Ralph Lauren — Half-zip;Ralph Lauren;Maglione mezza zip;usato;40.0;2025-08-19
Ralph Lauren — Half-zip;Ralph Lauren;Maglione mezza zip;usato;60.0;2025-09-18
Ralph Lauren — Felpe;Ralph Lauren;Felpa crewneck/cappuccio;usato;50.0;2025-08-19
Ralph Lauren — Felpe;Ralph Lauren;Felpa crewneck/cappuccio;usato;60.0;2025-09-18
Ralph Lauren — Felpa con zip;Ralph Lauren;Felpa con zip;usato;60.0;2025-08-19
Ralph Lauren — Felpa con zip;Ralph Lauren;Felpa con zip;usato;75.0;2025-09-18
Ralph Lauren — Felpe Bear (orso);Ralph Lauren;Felpa Bear;usato;110.0;2025-08-19
Ralph Lauren — Felpe Bear (orso);Ralph Lauren;Felpa Bear;usato;120.0;2025-09-18
Ralph Lauren — Polo basic;Ralph Lauren;Polo semplice;usato;20.0;2025-08-19
Ralph Lauren — Polo basic;Ralph Lauren;Polo semplice;usato;25.0;2025-09-18
Ralph Lauren — Polo cavallo grande semplice;Ralph Lauren;Polo cavallo grande;usato;35.0;2025-08-19
Ralph Lauren — Polo cavallo grande semplice;Ralph Lauren;Polo cavallo grande;usato;40.0;2025-09-18
Ralph Lauren — Polo LXVII;Ralph Lauren;Polo LXVII;usato;45.0;2025-08-19
Ralph Lauren — Polo LXVII;Ralph Lauren;Polo LXVII;usato;55.0;2025-09-18
Ralph Lauren — Polo Chief Keef (città);Ralph Lauren;Polo Chief Keef;usato;70.0;2025-08-19
Ralph Lauren — Polo Chief Keef (città);Ralph Lauren;Polo Chief Keef;usato;80.0;2025-09-18
Stone Island — Felpe (senza/con cappuccio/zip);Stone Island;Felpa;usato;90.0;2025-08-19
Stone Island — Felpe (senza/con cappuccio/zip);Stone Island;Felpa;usato;130.0;2025-09-18
Stone Island — Pullover;Stone Island;Pullover;usato;70.0;2025-08-19
Stone Island — Pullover;Stone Island;Pullover;usato;100.0;2025-09-18
CP Company — Felpe (senza/con cappuccio);CP Company;Felpa;usato;70.0;2025-08-19
CP Company — Felpe (senza/con cappuccio);CP Company;Felpa;usato;100.0;2025-09-18
Stone Island — Shorts;Stone Island;Pantaloncini;usato;60.0;2025-08-19
Stone Island — Shorts;Stone Island;Pantaloncini;usato;95.0;2025-09-18
