brand,category,item,buy_price_max_eur,resale_min_eur,resale_max_eur,season,notes,source_pdf
Ralph Lauren,Maglione V-neck,Maglione scollo a V (pesante),12.0,25,30,inverno,Sconsigliati in generale; prendere solo a prezzo basso,STUDIO RALPH LAUREN HUSTLEVISION.pdf
Ralph Lauren,Maglione classico,Maglione girocollo/classico,30.0,40,70,inverno,Prezzo acquisto consigliato fino a 25-30€,STUDIO RALPH LAUREN HUSTLEVISION.pdf
Ralph Lauren,Maglione mezza zip,Half-zip,,40,60,inverno,Dipende da colore/modello,STUDIO RALPH LAUREN HUSTLEVISION.pdf
Ralph Lauren,Felpa crewneck/cappuccio,Felpe,,50,60,,Colori chiari anche +5€,STUDIO RALPH LAUREN HUSTLEVISION.pdf
Ralph Lauren,Felpa con zip,Felpa con zip,,60,75,,,STUDIO RALPH LAUREN HUSTLEVISION.pdf
Ralph Lauren,Felpa Bear,Felpe Bear (orso),,110,120,,"Casi particolari, compra subito se capita",STUDIO RALPH LAUREN HUSTLEVISION.pdf
Ralph Lauren,Polo semplice,Polo basic,,20,25,estate,Prezzi scendono in inverno,STUDIO RALPH LAUREN HUSTLEVISION.pdf
Ralph Lauren,Polo cavallo grande,Polo cavallo grande semplice,,35,40,estate,,STUDIO RALPH LAUREN HUSTLEVISION.pdf
Ralph Lauren,Polo LXVII,Polo LXVII,,45,55,estate,,STUDIO RALPH LAUREN HUSTLEVISION.pdf
Ralph Lauren,Polo Chief Keef,Polo Chief Keef (città),,70,80,estate,,STUDIO RALPH LAUREN HUSTLEVISION.pdf
Stone Island,Felpa,Felpe (senza/con cappuccio/zip),50.0,90,130,,,STUDIO STONE ISLAND HUSTLEVISION.pdf
Stone Island,Pullover,Pullover,40.0,70,100,,,STUDIO STONE ISLAND HUSTLEVISION.pdf
CP Company,Felpa,Felpe (senza/con cappuccio),40.0,70,100,,Citato nella guida Stone Island,STUDIO STONE ISLAND HUSTLEVISION.pdf
Stone Island,Pantaloncini,Shorts,35.0,60,95,,,STUDIO STONE ISLAND HUSTLEVISION.pdf
